event_start,event_end,event_peak,event_peak_D_s-1,event_peak_D_1e5_s-1,duration_hours,year,month,season_year,detection_threshold_s-1,detection_threshold_1e5_s-1,slp_diff_hpa,zeta_box_mean_s-1,slp_climatology_mean_hpa,slp_climatology_std_hpa,monsoon_type,shinoda_class,episode_span_hours,threshold_hit_hours,merged_subevents_count,total_internal_gap_hours,max_internal_gap_hours
2004-02-29 01:00:00,2004-02-29 01:00:00,2004-02-29 01:00:00,-1.9813190737326085e-05,-1.9813190737326083,1,2004,2,2004,-1.957567489476574e-05,-1.957567489476574,10.560703125000032,6.301388283395531e-06,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,1,1,1,0.0,0.0
2004-11-28 21:00:00,2004-11-29 17:00:00,2004-11-29 09:00:00,-3.323293785888174e-05,-3.3232937858881737,21,2004,11,2005,-1.8216529439979125e-05,-1.8216529439979128,6.369687499999941,-7.003409953244218e-06,6.145678043365479,7.906016826629639,Type 1 strong-monsoon,Type 1A lower-vorticity,21,21,1,0.0,0.0
2004-12-26 18:00:00,2004-12-26 21:00:00,2004-12-26 19:00:00,-2.681189123076326e-05,-2.681189123076326,4,2004,12,2005,-2.5691567478831536e-05,-2.5691567478831536,14.699218750000114,-5.7186804627702965e-06,10.767045021057127,9.112839698791504,Type 1 strong-monsoon,Type 1A lower-vorticity,4,4,1,0.0,0.0
2004-12-28 20:00:00,2004-12-29 04:00:00,2004-12-29 01:00:00,-2.9814248354878054e-05,-2.9814248354878057,9,2004,12,2005,-2.5691567478831536e-05,-2.5691567478831536,8.346953125000027,-1.1540238951580418e-06,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,9,9,1,0.0,0.0
2004-12-31 04:00:00,2004-12-31 09:00:00,2004-12-31 06:00:00,-2.77320786389036e-05,-2.77320786389036,6,2004,12,2005,-2.5691567478831536e-05,-2.5691567478831536,4.262343750000014,-2.651062415347072e-07,10.767045021057127,9.112839698791504,Type 2 weak-monsoon,Type 2 weak-monsoon,6,6,1,0.0,0.0
2005-01-11 15:00:00,2005-01-11 20:00:00,2005-01-11 17:00:00,-2.6733680384762903e-05,-2.6733680384762906,6,2005,1,2005,-2.4251929268451687e-05,-2.4251929268451686,19.831562499999905,8.612507843837976e-06,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,6,6,1,0.0,0.0
2005-01-29 08:00:00,2005-01-29 12:00:00,2005-01-29 10:00:00,-2.5848133582656967e-05,-2.5848133582656967,5,2005,1,2005,-2.4251929268451687e-05,-2.4251929268451686,11.681015624999986,1.3913062673533273e-05,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,5,5,1,0.0,0.0
2005-01-31 01:00:00,2005-01-31 23:00:00,2005-01-31 22:00:00,-3.040194760881601e-05,-3.040194760881601,23,2005,1,2005,-2.4251929268451687e-05,-2.4251929268451686,23.124062499999923,1.2347023173868756e-05,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,23,23,1,0.0,0.0
2005-02-10 00:00:00,2005-02-10 11:00:00,2005-02-10 06:00:00,-2.5586265611943137e-05,-2.558626561194313,12,2005,2,2005,-1.957567489476574e-05,-1.957567489476574,16.138515624999968,-4.6843876250945576e-06,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1A lower-vorticity,12,12,1,0.0,0.0
2005-02-22 18:00:00,2005-02-23 08:00:00,2005-02-23 03:00:00,-2.5475107959473517e-05,-2.5475107959473515,15,2005,2,2005,-1.957567489476574e-05,-1.957567489476574,11.630312499999944,1.962319074086288e-05,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1B higher-vorticity,15,15,1,0.0,0.0
