event_start,event_end,event_peak,event_peak_D_s-1,event_peak_D_1e5_s-1,duration_hours,year,month,season_year,detection_threshold_s-1,detection_threshold_1e5_s-1,slp_diff_hpa,zeta_box_mean_s-1,slp_climatology_mean_hpa,slp_climatology_std_hpa,monsoon_type,shinoda_class,episode_span_hours,threshold_hit_hours,merged_subevents_count,total_internal_gap_hours,max_internal_gap_hours,peak_max_convergence_s-1,peak_max_convergence_1e5_s-1,peak_max_convergence_lat,peak_max_convergence_lon,peak_convergence_centroid_lat,peak_convergence_centroid_lon,candidate_peak_convergence_1e5_s-1,candidate_duration_weighted_convergence,candidate_positive_box_vorticity_1e5_s-1,candidate_peak_duration_vorticity_index,candidate_peak_convergence_percentile,convergence_intensity_auto,lat_position_group_auto,lon_position_group_auto,verified_event,cloud_band_present,position_group_manual,convergence_intensity_manual,manual_peak_convergence_lat,manual_peak_convergence_lon,satellite_checked,satellite_cloud_band_match,satellite_source,satellite_notes,upper_level_forcing_note,verification_notes
2014-12-13 09:00:00,2014-12-13 09:00:00,2014-12-13 09:00:00,-2.5875562163706284e-05,-2.5875562163706283,1,2014,12,2015,-2.5691567478831536e-05,-2.5691567478831536,19.00750000000005,1.2462217035492222e-06,10.767045021057127,9.112839698791504,Type 1 strong-monsoon,Type 1A lower-vorticity,1,1,1,0.0,0.0,0.0001102535707696,11.025357076964443,36.0,134.5,37.67122249709949,132.49674995229577,2.5875562163706283,2.5875562163706283,0.1246221703549222,0.3224668715994784,37.81094527363184,moderate-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,
2014-12-16 05:00:00,2014-12-17 11:00:00,2014-12-16 23:00:00,-4.3622682613064384e-05,-4.362268261306438,31,2014,12,2015,-2.5691567478831536e-05,-2.5691567478831536,37.39046875000008,1.9209232572292444e-05,10.767045021057127,9.112839698791504,Type 1 strong-monsoon,Type 1B higher-vorticity,31,31,1,0.0,0.0,0.0001561554743815,15.615547438150625,36.25,134.75,37.87989798726411,132.4086129198578,4.362268261306438,135.23031610049958,1.9209232572292445,259.767059279912,98.50746268656717,high-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,intense event look at dynamics
2014-12-31 18:00:00,2014-12-31 23:00:00,2014-12-31 23:00:00,-4.249348949624276e-05,-4.2493489496242765,6,2014,12,2015,-2.5691567478831536e-05,-2.5691567478831536,23.038593749999905,3.383947138109464e-06,10.767045021057127,9.112839698791504,Type 1 strong-monsoon,Type 1A lower-vorticity,6,6,1,0.0,0.0,0.0001417677744691,14.176777446913563,38.5,130.25,37.62709714192577,132.3057065416523,4.2493489496242765,25.496093697745657,0.3383947138109464,8.627743330145716,97.51243781094529,high-convergence,central,central,yes,,,,,,,,,,,more intense in soj. and off in the pacific may have a system.
2015-01-02 01:00:00,2015-01-02 11:00:00,2015-01-02 06:00:00,-3.780918012438912e-05,-3.780918012438912,11,2015,1,2015,-2.4251929268451687e-05,-2.4251929268451686,19.387421875000086,-2.6338775796366964e-06,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,11,11,1,0.0,0.0,0.0001677641783046,16.776417830463224,36.0,134.25,37.58612554222417,132.57168311730234,3.780918012438912,41.59009813682803,0.0,0.0,90.54726368159204,high-convergence,south-shifted,east-shifted,yes,,,,,,,,,,,
2015-01-06 00:00:00,2015-01-06 08:00:00,2015-01-06 04:00:00,-3.103681166257533e-05,-3.103681166257533,9,2015,1,2015,-2.4251929268451687e-05,-2.4251929268451686,12.297421875000056,1.4478918892628262e-05,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,9,9,1,0.0,0.0,8.427698509664349e-05,8.42769850966435,39.0,129.75,38.20343487264167,131.09081331723638,3.103681166257533,27.9331304963178,1.4478918892628263,40.44415308733865,69.65174129353234,high-convergence,north-shifted,west-shifted,uncertain,,,,,,,,,,,there seems to be a signature in the polygon. but there seems to be a larger scale flow or circulation trailing through coastal Japan
2015-01-11 00:00:00,2015-01-11 05:00:00,2015-01-11 03:00:00,-2.681581748942168e-05,-2.6815817489421674,6,2015,1,2015,-2.4251929268451687e-05,-2.4251929268451686,15.187265625000007,5.745230332539394e-06,11.12716293334961,8.703954696655273,Type 1 strong-monsoon,Type 1A lower-vorticity,6,6,1,0.0,0.0,0.0001133103930008,11.331039300084171,36.75,132.75,37.78631487272524,132.10785034799912,2.6815817489421674,16.089490493653003,0.5745230332539394,9.243782881923943,47.2636815920398,moderate-convergence,south-shifted,central,yes,,,,,,,,,,,
2015-01-16 13:00:00,2015-01-16 21:00:00,2015-01-16 16:00:00,-2.897506929945677e-05,-2.8975069299456773,9,2015,1,2015,-2.4251929268451687e-05,-2.4251929268451686,8.438203125000086,8.861859602822109e-06,11.12716293334961,8.703954696655273,Type 2 weak-monsoon,Type 2 weak-monsoon,9,9,1,0.0,0.0,0.0001139337687699,11.393376876998271,38.5,130.25,37.77747942419029,131.9270355342031,2.8975069299456773,26.077562369511096,0.8861859602822109,23.109569650244435,57.71144278606965,moderate-convergence,central,central,yes,,,,,,,,,,,
2015-02-07 17:00:00,2015-02-08 11:00:00,2015-02-08 02:00:00,-3.687774584476265e-05,-3.687774584476265,19,2015,2,2015,-1.957567489476574e-05,-1.957567489476574,11.950312499999882,2.146146424080144e-05,8.544206619262695,8.269665718078613,Type 1 strong-monsoon,Type 1B higher-vorticity,19,19,1,0.0,0.0,0.0001573612465737,15.736124657378292,37.75,133.0,38.032467511125525,131.47888524977992,3.687774584476265,70.06771710504903,2.146146424080144,150.37558050846013,89.05472636815921,high-convergence,central,central,yes,,,,,,,,,,,
2015-02-12 00:00:00,2015-02-12 08:00:00,2015-02-12 04:00:00,-2.5023910854841663e-05,-2.5023910854841667,9,2015,2,2015,-1.957567489476574e-05,-1.957567489476574,6.433046875000059,1.0488531387591077e-05,8.544206619262695,8.269665718078613,Type 2 weak-monsoon,Type 2 weak-monsoon,9,9,1,0.0,0.0,0.0001938052513715,19.38052513715068,39.75,130.5,39.060311841483546,131.56365639757666,2.5023910854841667,22.5215197693575,1.0488531387591076,23.621766699715906,32.33830845771145,low-convergence,north-shifted,central,yes,,,,,,,,,,,
2015-11-07 14:00:00,2015-11-08 06:00:00,2015-11-07 21:00:00,-3.549163050827007e-05,-3.5491630508270067,17,2015,11,2016,-1.8216529439979125e-05,-1.8216529439979128,-14.844765624999924,5.308179475903456e-06,6.145678043365479,7.906016826629639,Type 2 weak-monsoon,Type 2 weak-monsoon,17,17,1,0.0,0.0,0.0002224744872701,22.24744872701725,37.75,135.25,38.0599367489666,132.5448453192046,3.5491630508270067,60.33577186405911,0.5308179475903456,32.02731058715918,84.5771144278607,high-convergence,central,east-shifted,yes,,,,,,,,,,,flow seems reversed div over the changbai Mts is intense.
